Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Chart,Ref(s)
Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Chart,Ref(s)
"November 3, 2013",12:47:36,143,Hybrid,0.3272,1.0159,1:40,3°30′N 11°42′W﻿ / ﻿3.5°N 11.7°W﻿ / 3.5; -11.7,58,36,"Total: Gabon, Republic of the Congo, Democratic Republic of the Congo, Uganda, Kenya, EthiopiaPartial: Eastern North America, Caribbean, Eastern South America, Southern Europe, Africa, Middle East",,[a][4]
"April 29, 2014",06:04:33,148,Annular (non-central),−1.00001,0.9868,—,70°36′S 131°18′E﻿ / ﻿70.6°S 131.3°E﻿ / -70.6; 131.3,—,—,"Annular: Western Wilkes LandPartial: Australia, East Antarctica",,[a][4]
"October 23, 2014",21:45:39,153,Partial,1.0908,0.8114,—,71°12′N 97°12′W﻿ / ﻿71.2°N 97.2°W﻿ / 71.2; -97.2,—,—,Partial: Eastern Russia and North America,,[a][4]
"March 20, 2015",09:46:47,120,Total,0.9454,1.0445,2:47,64°24′N 6°36′W﻿ / ﻿64.4°N 6.6°W﻿ / 64.4; -6.6,463,288,"Total: Faroe Islands, Svalbard, North PolePartial: Greenland, Europe, North Africa, Central Asia, Western Russia",,[a][4]
"September 13, 2015",06:55:19,125,Partial,−1.1004,0.7875,—,72°06′S 2°18′W﻿ / ﻿72.1°S 2.3°W﻿ / -72.1; -2.3,—,—,"Partial: Southern Africa, East Antarctica",,[a][4]
"March 9, 2016",01:58:19,130,Total,0.2609,1.045,4:09,10°06′N 148°48′E﻿ / ﻿10.1°N 148.8°E﻿ / 10.1; 148.8,155,96,"Total: Indonesia, Micronesia, Marshall IslandsPartial: Southeast Asia, East Asia, Alaska, Northwestern Australia, Hawaii",,[a][4]
"September 1, 2016",09:08:02,135,Annular,−0.333,0.9736,3:06,10°42′S 37°48′E﻿ / ﻿10.7°S 37.8°E﻿ / -10.7; 37.8,100,62,"Annular: Gabon, Congo, Democratic Republic of the Congo, Tanzania, Mozambique, Madagascar, RéunionPartial: Africa, Antarctica",,[a][5]
"February 26, 2017",14:54:33,140,Annular,−0.4578,0.9922,0:44,34°42′S 31°12′W﻿ / ﻿34.7°S 31.2°W﻿ / -34.7; -31.2,31,19,"Annular: Southern Chile and Argentina, Angola, Southwestern KatangaPartial: Southern South America, Southern and Western Africa, Antarctica",,[a][4]
"August 21, 2017",18:26:40,145,Total,0.4367,1.0306,2:40,37°00′N 87°42′W﻿ / ﻿37.0°N 87.7°W﻿ / 37.0; -87.7,115,71,"Total: Oregon, Idaho, Wyoming, Nebraska, Kansas, Missouri, Illinois, Kentucky, Tennessee, North Carolina, Georgia, South Carolina, Virginia, WisconsinPartial: Northeast Asia, Hawaii, North America, Central America, Caribbean, Northern South America, Western Europe, West Africa",,[a][4][6]
"February 15, 2018",20:52:33,150,Partial,−1.2116,0.5991,—,71°00′S 0°36′E﻿ / ﻿71.0°S 0.6°E﻿ / -71.0; 0.6,—,—,"Partial: Antarctica, Southern South America",,[a][4]
"July 13, 2018",03:02:16,117,Partial,−1.3542,0.3365,—,67°54′S 127°24′E﻿ / ﻿67.9°S 127.4°E﻿ / -67.9; 127.4,—,—,"Partial: Antarctica, Southern Australia, Tasmania, Stewart Island",,[a][4]
"August 11, 2018",09:47:28,155,Partial,1.1476,0.7368,—,70°24′N 174°30′E﻿ / ﻿70.4°N 174.5°E﻿ / 70.4; 174.5,—,—,"Partial: Northeastern Canada, Greenland, Northern Europe, Northern Asia",,[a][4]
"January 6, 2019",01:42:38,122,Partial,1.1417,0.7145,—,67°24′N 153°36′E﻿ / ﻿67.4°N 153.6°E﻿ / 67.4; 153.6,—,—,"Partial: Northeast Asia, Southwestern Alaska",,[a][4]
