Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width...9,Path width...10,Geographical area
2069-10-15,04:19:56,125,Partial,−1.2524,0.5298,—,71°36′S 5°30′W﻿ / ﻿71.6°S 5.5°W﻿ / -71.6; -5.5,—,—,Partial: Antarctica
2070-04-11,02:36:09,130,Total,0.3652,1.0472,4:04,29°06′N 135°06′E﻿ / ﻿29.1°N 135.1°E﻿ / 29.1; 135.1,168,104,"Total: Sri Lanka, Andaman and Nicobar Islands, Myanmar, Thailand, Cambodia, Laos, Vietnam, Southern Taiwan, Nanpō IslandsPartial: Asia, Alaska, Hawaii, Western Canada"
2070-10-04,07:08:57,135,Annular,−0.495,0.9731,2:44,32°48′S 60°24′E﻿ / ﻿32.8°S 60.4°E﻿ / -32.8; 60.4,110,68,"Annular: Angola, Zambia, Zimbabwe, Mozambique, MadagascarPartial: Central Africa, Southern Africa, East Africa, Antarctica, Australia"
2071-03-31,15:01:06,140,Annular,−0.3739,0.9919,0:52,16°42′S 37°00′W﻿ / ﻿16.7°S 37.0°W﻿ / -16.7; -37.0,31,19,"Annular: Chile, Argentina, Brazil, Congo, Democratic Republic of the CongoPartial: South America, Antarctica, Africa"
2071-09-23,17:20:28,145,Total,0.262,1.0333,3:11,14°12′N 76°42′W﻿ / ﻿14.2°N 76.7°W﻿ / 14.2; -76.7,116,72,"Total: Northern Mexico, Northern Colombia, Venezuela, Guyana, Northern Brazil, Suriname, French GuianaPartial: Hawaii, North America, Central America, Caribbean, Northern and Central South America, West Africa"
2072-03-19,20:10:31,150,Partial,−1.1405,0.7199,—,72°12′S 30°24′W﻿ / ﻿72.2°S 30.4°W﻿ / -72.2; -30.4,—,—,"Partial: Antarctica, Southern South America"
2072-09-12,08:59:20,155,Total,0.9655,1.0558,3:13,69°48′N 102°00′E﻿ / ﻿69.8°N 102.0°E﻿ / 69.8; 102.0,732,455,"Total: Northern and Eastern RussiaPartial: Greenland, Europe, Asia"
2073-02-07,01:55:59,122,Partial,1.1651,0.6768,—,70°30′N 114°54′E﻿ / ﻿70.5°N 114.9°E﻿ / 70.5; 114.9,—,—,"Partial: East Asia, Northeast Asia, Western Alaska"
2073-08-03,17:15:23,127,Total,−0.8763,1.0294,2:29,43°12′S 89°24′W﻿ / ﻿43.2°S 89.4°W﻿ / -43.2; -89.4,206,128,"Total: Southern Chile and ArgentinaPartial: Central and Southern South America, Antarctic Peninsula"
2074-01-27,06:44:15,132,Annular,0.4251,0.9798,2:21,6°36′N 78°48′E﻿ / ﻿6.6°N 78.8°E﻿ / 6.6; 78.8,79,49,"Annular: Eastern Chad, Sudan, Northern South Sudan, Ethiopia, Somalia, Maldives, Sri Lanka, Andaman and Nicobar Islands, Myanmar, Thailand, Laos, Vietnam, Southeastern China, Southwestern JapanPartial: Central Africa, East Africa, Eastern Europe, Asia"
2074-07-24,03:10:32,137,Annular,−0.1242,0.9838,1:57,12°48′N 133°42′E﻿ / ﻿12.8°N 133.7°E﻿ / 12.8; 133.7,58,36,"Annular: Maldives, Andaman and Nicobar Islands, Thailand, Cambodia, Vietnam, Philippines, Micronesia, TuvaluPartial: South Asia, Southeast Asia, East Asia, Northern Australia, Oceania"
2075-01-16,18:36:04,142,Total,−0.2799,1.0311,2:42,37°12′S 94°06′W﻿ / ﻿37.2°S 94.1°W﻿ / -37.2; -94.1,110,68,"Total: Chile, Argentina, Paraguay, BrazilPartial: Oceania, Antarctica, South America"
2075-07-13,06:05:44,147,Annular,0.6583,0.9467,4:45,63°06′N 95°12′E﻿ / ﻿63.1°N 95.2°E﻿ / 63.1; 95.2,262,163,"Annular: Eastern Spain, France, Monaco, Italy, San Marino, Austria, Slovenia, Croatia, Bosnia and Herzegovina, Hungary, Slovakia, Czech Republic, Northwestern Romania, Poland, Ukraine, Belarus, RussiaPartial: Europe, North Africa, Greenland, Northern Canada, Alaska, Asia"
