Date,Time_of_greatest_eclipse_terrestrial_time,Saros,Type,Gamma,Magnitude,Central_duration_min_s,Latitude,Longitude,Path_width_km,Path_width_miles
2051-10-04,21:02:14,125,Partial,−1.2094,0.6024,—,-72.0,117.7,—,—
2052-03-30,18:31:53,130,Total,0.3238,1.0466,4:08,22.4,-102.5,164,102
2052-09-22,23:39:10,135,Annular,−0.448,0.9734,2:51,-25.7,175.0,106,66
2053-03-20,07:08:19,140,Annular,−0.4089,0.9919,0:50,-23.0,83.0,31,19
2053-09-12,09:34:09,145,Total,0.314,1.0328,3:04,21.5,41.7,116,72
2054-03-09,12:33:40,150,Partial,−1.1711,0.6678,—,-72.0,97.9,—,—
2054-08-03,18:04:02,117,Partial,−1.4941,0.0655,—,-69.8,-121.3,—,—
2054-09-02,01:09:34,155,Partial,1.0215,0.9793,—,71.7,-82.3,—,—
2055-01-27,17:54:05,122,Partial,1.155,0.6932,—,69.5,-112.2,—,—
2055-07-24,09:57:50,127,Total,−0.8012,1.0359,3:17,-33.3,25.8,202,126
2056-01-16,22:16:45,132,Annular,0.4199,0.9759,2:52,3.9,-153.5,95,59
2056-07-12,20:21:59,137,Annular,−0.0426,0.9878,1:26,19.4,-123.7,43,27
2057-01-05,09:47:52,142,Total,−0.2837,1.0287,2:29,-39.2,35.2,102,63
2057-07-01,23:40:15,147,Annular,0.7455,0.9464,4:23,71.5,-176.2,298,185
2057-12-26,01:14:35,152,Total,−0.9405,1.0348,1:50,-84.9,21.8,355,221
2058-05-22,10:39:25,119,Partial,−1.3194,0.4141,—,-63.5,61.1,—,—
2058-06-21,00:19:35,157,Partial,1.4869,0.126,—,65.9,9.9,—,—
2058-11-16,03:23:07,124,Partial,1.1224,0.7644,—,62.9,174.2,—,—
2059-05-11,19:22:16,129,Total,−0.508,1.0242,2:23,-10.7,-100.4,95,59
2059-11-05,09:18:15,134,Annular,0.4454,0.9417,7:00,8.7,47.1,238,148
2060-04-30,10:10:00,139,Total,0.2422,1.066,5:15,28.0,20.9,222,138
2060-10-24,09:24:10,144,Annular,−0.2625,0.9277,8:06,-25.8,28.1,281,175
2061-04-20,02:56:49,149,Total,0.9578,1.0475,2:37,64.5,59.2,559,347
2061-10-13,10:32:10,154,Annular,−0.9639,0.9469,3:41,-62.1,-54.4,743,462
2062-03-11,04:26:16,121,Partial,−1.0238,0.9331,—,-61.0,-147.1,—,—
2062-09-03,08:54:27,126,Partial,1.0191,0.9749,—,61.3,150.3,—,—
2063-02-28,07:43:30,131,Annular,−0.336,0.9293,7:41,-25.2,77.7,280,170
2063-08-24,01:22:11,136,Total,0.2771,1.075,5:49,25.6,168.4,252,157
